claim_id,subject_id,claim_text,start_date,end_date,precision,place,source_ids,confidence,status,contradiction_notes,public_site_location
claim-first-question,event-brown-box,"The first video game is an inadequate question because electronic play, computer play, raster-TV apparatus and commercial industry have different thresholds.",1947,1972,range,global,"patent-2455992; chm-oxo; bnl-first; chm-spacewar; morgan-lee-report",Confirmed,public,"Does not dismiss OXO, Tennis for Two or Spacewar! as non-games.",Act I thesis
claim-raster-patent,brown-box-odyssey,"The pioneer-patent argument concerns a television-type raster apparatus with player-controlled symbols, hitting, coincidence and response.",1966,1973,range,global,"patent-3659285; patent-3728480; morgan-lee-report; csc3224-pioneer-patents",Confirmed,public,"Earlier games remain historically important but technically distinct.",Act I patent lens
claim-sinclair-not-alone,event-zx81-bbc,"Sinclair was central to UK home computing, but the BBC/Acorn educational route and Commodore route also shaped the industry.",1980,1983,range,UK,"cch-zx80; cch-zx81; cch-bbc-micro; cch-electron; cch-spectrum","Well supported",public,"Avoids heroic single-cause mythology.",Act II Britain Switches On
claim-spectrum-memory,event-spectrum,"The ZX Spectrum display used 6,912 bytes: 6,144 bitmap bytes and 768 colour-attribute bytes, creating colour-attribute constraints.",1982,1982,year,UK,"csc3224-graphics; zx-spectrum-manual","Well supported",public,"Keep technical explanation accessible.",Act II technology note
claim-tynesoft-blaydon,tynesoft,"Tynesoft is associated with Blaydon and a move from educational software into games/publishing.",1983,1990,approximate,Blaydon,"cch-tynesoft; stairway-tynesoft-games; supplied-lineage-poster",Approximate,"public with caveat","Official company records still required.",Tynesoft case study
claim-washington-club,washington,"A retrospective account recalls a Washington Galleries computer club and later Oxclose Community Centre as meeting places for early programmers.",1984,1987,approximate,Washington,stardot-vindaloo-club,"First-person recollection","research lead","Needs documentary corroboration.",Before the Studios and Research Status
claim-icon-audiogenic,icon-software,"Icon, Audiogenic/ASL and several North East authors are connected in surviving recollections, but the nature of any organisational transfer is unresolved.",1984,1987,approximate,Newcastle/Tyneside,"stairway-kevin-blake-portfolio; stairway-gary-partis-profile; supplied-lineage-poster","Open question","public with caveat","Do not display as legal succession.",Icon/Audiogenic and lineage view
claim-reflections-early,reflections,"Early Reflections should be presented through BBC/Electron work and Superior relationships before later Driver/Ubisoft history.",1986,1987,approximate,Newcastle,"supplied-lineage-poster; chroniclelive-2019; invest-newcastle-2019",Approximate,"public with caveat","Early details need stronger contemporary sources.",Reflections case study
claim-tynesoft-zeppelin,zeppelin-games,"Tynesoft-to-Zeppelin is currently a staff/founder heritage lead, not a proven legal succession line.",1987,1990s,approximate,Newcastle/Tyneside,"companies-house-eutechnyx; supplied-lineage-poster",Approximate,"public with caveat","Companies House supports later name chain, not every origin claim.",Lineage view
claim-teesside-separate,event-teesside-orbit,"Teesside should be researched as a separate regional orbit rather than collapsed into Newcastle/Tyneside.",1990s,2000s,approximate,Teesside,supplied-lineage-poster,Approximate,"public with caveat","Replace poster leads with stronger sources.",Teesside case study and regional map
claim-modern-sector,event-modern-sector,"Modern North East examples such as Atomhawk, Ubisoft Reflections and People Can Fly Gateshead should be epilogue evidence, not proof of one uninterrupted lineage.",2019,2019,year,North East,"invest-newcastle-2019; chroniclelive-2019","Well supported",public,"Avoid corporate directory drift.",The Lines Continue
claim-game-lab-bridge,event-game-lab-bridge,"Newcastle's Game Technology Lab bridges regional skills, game-engineering teaching, industry relationships and the later university story.",2008,2026,range,Newcastle,"ncl-graham-profile; graham-personal-site; labs-to-riches-booklet","Well supported",public,"Phase 1 handles the lab in detail.",Bridge to Phase 1
