claim_id,statement,subject_id,source,evidence_type,confidence,public_page_location,audit_status,notes
claim-first-question,"The first video game is an inadequate question because electronic play, computer play, raster-TV apparatus and commercial industry have different thresholds.",event-brown-box,"patent-2455992; chm-oxo; bnl-first; chm-spacewar; morgan-lee-report",primary patent plus museum/institutional histories,Confirmed,Act I thesis,public-ok,"Keep as interpretive thesis, not a dismissal of OXO, Tennis for Two or Spacewar."
claim-raster-patent,"The pioneer-patent argument concerns a television-type raster apparatus with player-controlled symbols, hitting, coincidence and response.",brown-box-odyssey,"patent-3659285; patent-3728480; morgan-lee-report; csc3224-pioneer-patents",primary patents plus academic/teaching sources,Confirmed,Act I patent lens,public-ok,"Private teaching source cited by title only; no Drive link or ID."
claim-sinclair-not-alone,"Sinclair was central to UK home computing, but BBC/Acorn and Commodore routes also shaped the industry.",event-zx81-bbc,"cch-zx80; cch-zx81; cch-bbc-micro; cch-electron; cch-spectrum",museum collections,Well supported,Act II Britain Switches On,public-ok,"Avoid single-cause mythology."
claim-spectrum-memory,"The ZX Spectrum display used 6912 bytes: 6144 bitmap bytes and 768 colour-attribute bytes.",event-spectrum,"csc3224-graphics; zx-spectrum-manual",manual plus teaching source,Well supported,Act II technology note,public-ok,"Readable numeric text is acceptable; decimal-date validator should not flag memory byte counts."
claim-paper-code-network,"Printed listings made program text a distribution channel, lesson, installation, debugging exercise and modifiable source.",event-code-paper,"gazzard-typeins; zx-spectrum-manual",academic research plus manual,Well supported,Code Travels on Paper,public-ok,"Should include magazines, clubs, libraries, cassette swapping and friends."
claim-tynesoft-blaydon,"Tynesoft is associated with Blaydon and a move from educational software into games/publishing.",tynesoft,"cch-tynesoft; stairway-tynesoft-games; supplied-lineage-poster",museum/archive catalogue plus supplied lead,Approximate,Tynesoft case study,needs-citation-upgrade,"Official company records still required for exact legal names, premises, directors and closure date."
claim-tynesoft-businessification,"Tynesoft makes businessification visible through mastering, duplication, packaging, artwork, reviews, retail, support, ports, licences, wages and risk.",event-tynesoft-sports,"stairway-kevin-blake-portfolio; stairway-tynesoft-games",first-person recollection plus archive index,First-person recollection,Tynesoft case study and business pipeline,public-ok-with-caveat,"Do not republish personal allegations or over-generalise recollection."
claim-tynesoft-photo-group,"The group image is associated with Tynesoft but individual names, dates and detailed provenance are still being researched.",photo-tynesoft-team-group,"local supplied file; current site caption; research/photo-identification/tynesoft-team-group.md",local supplied image,Unconfirmed,Tynesoft photo caption,public-ok-with-caveat,"No person is identified publicly."
claim-tynesoft-photo-wide,"The wide group image is associated with Tynesoft and no automatic identification has been made.",photo-tynesoft-team-wide,"local supplied file; current site caption; research/photo-identification/tynesoft-team-wide.md",local supplied image,Unconfirmed,Tynesoft photo caption,public-ok-with-caveat,"No person is identified publicly."
claim-washington-club,"A retrospective account recalls a Washington Galleries computer club and later Oxclose Community Centre as meeting places for early programmers.",washington,"stardot-vindaloo-club",first-person forum recollection,First-person recollection,Before the Studios and Research Status,research-lead,"Needs documentary corroboration before stronger wording."
claim-icon-audiogenic,"Icon, Audiogenic/ASL and several North East authors are connected in surviving recollections, but organisational transfer is unresolved.",icon-software,"stairway-kevin-blake-portfolio; stairway-gary-partis-profile; supplied-lineage-poster",first-person recollection plus supplied lead,Open question,Icon/Audiogenic case study and lineage view,public-ok-with-caveat,"Do not display as legal succession."
