Record_ID,Title,Platform,Source system,Source URL,Evidence status,Review status,Notes
source-item:crash:047:16-pages-of-judge-death,16 PAGES OF JUDGE DEATH,,CRASH,https://www.crashonline.org.uk/47/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:012:1985-calendar,1985 CALENDAR,,CRASH,https://www.crashonline.org.uk/12/calendar.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:036:1986-index,1986 INDEX,,CRASH,https://www.crashonline.org.uk/36/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:047:2000ad-odyssey,2000AD ODYSSEY,,CRASH,https://www.crashonline.org.uk/47/2000ad.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:026:2186-a-look-into-the-future,2186 — A LOOK INTO THE FUTURE,,CRASH,https://www.crashonline.org.uk/26/diary.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:043:3-d-games,3-D GAMES,,CRASH,https://www.crashonline.org.uk/43/gamemkr.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:006:3d-or-not,3D OR NOT?,,CRASH,https://www.crashonline.org.uk/06/3d.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:032:a-bit-of-blarney-about-bytes,A BIT OF BLARNEY ABOUT BYTES,,CRASH,https://www.crashonline.org.uk/32/mikrogen.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:019:a-bit-of-fun,A BIT OF FUN,,CRASH,https://www.crashonline.org.uk/19/unclear.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:029:a-chance-to-get-your-very-own-rat,A CHANCE TO GET YOUR VERY OWN RAT,,CRASH,https://www.crashonline.org.uk/29/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:031:a-classic-game-for-free,A CLASSIC GAME FOR FREE!,,CRASH,https://www.crashonline.org.uk/31/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:027:a-closer-look-at-the-128,A CLOSER LOOK AT THE 128,,CRASH,https://www.crashonline.org.uk/27/extrabit.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:024:a-date-for-your-diary,A DATE FOR YOUR DIARY,,CRASH,https://www.crashonline.org.uk/24/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:039:a-day-at-the-seaside,A DAY AT THE SEASIDE,,CRASH,https://www.crashonline.org.uk/39/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:027:a-day-out-adventuring,A DAY OUT ADVENTURING,,CRASH,https://www.crashonline.org.uk/27/stranger.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:032:a-fishy-business,A FISHY BUSINESS,,CRASH,https://www.crashonline.org.uk/32/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:018:a-gremlin-in-the-works,A GREMLIN IN THE WORKS,,CRASH,https://www.crashonline.org.uk/18/gremlin.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:010:a-guide-for-guido,A GUIDE FOR GUIDO,,CRASH,https://www.crashonline.org.uk/10/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:036:a-liverpudlian-interlude,A LIVERPUDLIAN INTERLUDE,,CRASH,https://www.crashonline.org.uk/36/denton.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:022:a-look-at-some-of-our-competitors,A LOOK AT SOME OF OUR COMPETITORS,,CRASH,https://www.crashonline.org.uk/22/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:032:a-new-way-of-creating-adventures,A NEW WAY OF CREATING ADVENTURES,,CRASH,https://www.crashonline.org.uk/32/gac.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:013:a-proper-wally,A PROPER WALLY,,CRASH,https://www.crashonline.org.uk/13/wally.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:048:a-sally-down-arcade-alley,A SALLY DOWN ARCADE ALLEY,,CRASH,https://www.crashonline.org.uk/48/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:005:a-winning-team,A WINNING TEAM,,CRASH,https://www.crashonline.org.uk/05/newgen.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:007:acg-key-winner,ACG KEY WINNER,,CRASH,https://www.crashonline.org.uk/07/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:030:adorn-your-walls,ADORN YOUR WALLS,,CRASH,https://www.crashonline.org.uk/30/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:031:adorn-yourself-with-jewels,ADORN YOURSELF WITH JEWELS,,CRASH,https://www.crashonline.org.uk/31/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:036:adventure,ADVENTURE,,CRASH,https://www.crashonline.org.uk/36/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:009:adventure-of-jetman,ADVENTURE OF JETMAN,,CRASH,https://www.crashonline.org.uk/09/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:008:adventure-smash-the-hulk,ADVENTURE SMASH — THE HULK,,CRASH,https://www.crashonline.org.uk/08/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:007:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/07/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:009:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/09/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:010:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/10/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:011:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/11/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:013:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/13/advent.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:014:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/14/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:015:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/15/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:016:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/16/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:017:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/17/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:018:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/18/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:019:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/19/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:020:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/20/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:021:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/21/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:022:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/22/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:023:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/23/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:024:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/24/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:025:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/25/advtrail.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:049:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/49/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:050:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/50/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:051:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/51/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:052:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/52/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:091:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/91/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:092:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/92/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:093:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/93/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:094:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/94/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:097:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/97/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:098:adventure-trail,ADVENTURE TRAIL,,CRASH,https://www.crashonline.org.uk/98/index.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:041:adventure-trail-extra,ADVENTURE TRAIL EXTRA,,CRASH,https://www.crashonline.org.uk/41/advtrail1.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:010:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/10/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:011:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/11/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:012:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/12/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:013:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/13/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:014:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/14/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:015:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/15/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:016:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/16/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:017:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/17/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:018:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/18/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:crash:019:adventures-of-jetman,ADVENTURES OF JETMAN,,CRASH,https://www.crashonline.org.uk/19/jetman.htm,Confirmed from contemporary magazine evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
