Credit_Record_ID,Person,Person_ID,Game_Record_ID,Game Title,Release_ID,Platform / Release,Role,Role as printed,Original or conversion,Employment status,Evidence status,Review status,Source system,Source URL,Source item ID,Confidence,Notes
credit:source-item-sinclair-user-007-https-sinclairuser-com-007-hardwre-htm:person-for-eprom:programmer,for EPROM,person:for-eprom,game:sound-booster-for-spectrum,Sound booster for Spectrum,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/007/hardwre.htm,source-item:sinclair-user:007:https-sinclairuser-com-007-hardwre-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-014-https-sinclairuser-com-014-softwre-htm:person-s-are-going-further-afield-to-find-uses-for-the-48k-spectrum-hilton-computer-services-has-just-launched-an-expert-system-called:programmer,"S are going further afield to find uses for the 48K Spectrum. Hilton Computer Services has just launched an 'expert' system, called",person:s-are-going-further-afield-to-find-uses-for-the-48k-spectrum-hilton-computer-services-has-just-launched-an-expert-system-called,game:plenty-of-1k-action,Plenty of 1K action,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/014/softwre.htm,source-item:sinclair-user:014:https-sinclairuser-com-014-softwre-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-018-https-sinclairuser-com-018-3dgames-htm:person-s-are-starting-to-use-sophisticated-techniques-to-achieve-three-dimensional-effects-on-the-computer-screen-which-seem-more-life-like-than-the-two-dimensional-space-battle-games:programmer,s are starting to use sophisticated techniques to achieve three-dimensional effects on the computer screen which seem more life-like than the two-dimensional space-battle games.,person:s-are-starting-to-use-sophisticated-techniques-to-achieve-three-dimensional-effects-on-the-computer-screen-which-seem-more-life-like-than-the-two-dimensional-space-battle-games,game:extra-dimension-adds-excitement-to-games,Extra dimension adds excitement to games,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/018/3dgames.htm,source-item:sinclair-user:018:https-sinclairuser-com-018-3dgames-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-043-https-sinclairuser-com-043-htsquad-htm:person-s-toolkit-for-the-zx-81:programmer,'s Toolkit for the ZX-81,person:s-toolkit-for-the-zx-81,game:hit-squad,HIT SQUAD,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/043/htsquad.htm,source-item:sinclair-user:043:https-sinclairuser-com-043-htsquad-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-047-https-sinclairuser-com-047-command-htm:person-s:programmer,s,person:s,game:commando,Commando,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/047/command.htm,source-item:sinclair-user:047:https-sinclairuser-com-047-command-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-047-https-sinclairuser-com-047-enigma-htm:person-s:programmer,s,person:s,game:enigma-force,Enigma Force,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/047/enigma.htm,source-item:sinclair-user:047:https-sinclairuser-com-047-enigma-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-047-https-sinclairuser-com-047-sirfred-htm:person-s:programmer,s,person:s,game:sir-fred,Sir Fred,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/047/sirfred.htm,source-item:sinclair-user:047:https-sinclairuser-com-047-sirfred-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-047-https-sinclairuser-com-047-sweevo-htm:person-s:programmer,s,person:s,game:sweevos-world,Sweevo's World,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/047/sweevo.htm,source-item:sinclair-user:047:https-sinclairuser-com-047-sweevo-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-048-https-sinclairuser-com-048-fplanet-htm:person-s:programmer,s,person:s,game:forbidden-planet,Forbidden Planet,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/048/fplanet.htm,source-item:sinclair-user:048:https-sinclairuser-com-048-fplanet-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-048-https-sinclairuser-com-048-winterg-htm:person-s:programmer,s,person:s,game:winter-games,Winter Games,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/048/winterg.htm,source-item:sinclair-user:048:https-sinclairuser-com-048-winterg-htm,explicitly named in source metadata,A source credit does not establish employment status.
